t_s,mode,action,syn_accept_rate,syn_drop_rate,syn_total,rtt_ms,legit_mbps,thr_norm
1,drl,1,30000,88542,118542,14.4,15.955152,1.7174958793409012
2,drl,1,40,10811,10851,13.3,14.834016,1.5968109457106394
3,drl,1,0,0,0,13.4,17.073552,1.837886295643727
4,drl,1,15057,0,15057,16.6,9.334464,1.0048104496814563
5,drl,1,0,33675,33675,13.2,13.822976,1.4879773204434639
